Zeit;Kanal A;Kanal B;Kanal C;Kanal D
(s);(V);(V);(V);(V)

0,29400001;4,99496500;4,13342700;7,00125100;0,04852443
0,29600001;5,00564600;4,13342700;7,01712100;-0,02533036
0,29800001;5,00045800;4,12823900;7,00125100;-0,04119999
0,30000001;5,00564600;4,13342700;6,99575800;-0,07293924
0,30200001;5,00564600;4,13342700;7,00125100;-0,08880886
0,30400001;5,00564600;4,12823900;7,00643900;-0,02533036
0,30600001;5,00045800;4,13342700;6,99575800;0,02197333
0,30800001;4,98977600;4,13861500;6,99575800;0,05371258
0,31000001;5,00564600;4,13342700;6,99575800;0,08545183
0,31200001;5,00564600;4,11755800;7,00125100;0,09613331
0,31400001;5,00045800;4,14929700;6,99057000;0,03784295
0,31600002;4,98977600;4,14410800;6,99575800;-0,02014222
0,31800002;5,00045800;4,13861500;6,99575800;-0,05188147
0,32000002;5,00564600;4,13861500;7,00643900;-0,07843257
0,32200002;5,00045800;4,13342700;7,00643900;-0,08880886
0,32400002;5,01113900;4,13342700;7,00643900;-0,04119999
0,32600002;4,99496500;4,14410800;6,99575800;0,03784295
0,32800002;5,00045800;4,13861500;7,00643900;0,04333628
0,33000002;5,02151500;4,14410800;6,99575800;0,07507554
0,33200002;5,00564600;4,12823900;6,99575800;0,09094515
0,33400002;5,01632700;4,13342700;7,00125100;0,03784295
0,33600002;5,00564600;4,13861500;6,99575800;-0,03051851
0,33800002;5,01113900;4,13861500;6,99575800;-0,05188147
0,34000002;5,00045800;4,13342700;6,99057000;-0,08362071
0,34200002;5,00045800;4,13861500;6,99575800;-0,09430219
0,34400002;4,99496500;4,12823900;6,99057000;-0,03051851
0,34600002;5,00564600;4,13861500;7,00643900;0,02746666
0,34800002;5,00045800;4,13861500;7,01193300;0,05371258
0,35000002;5,00045800;4,13342700;7,00643900;0,09094515
0,35200002;4,99496500;4,14929700;6,99575800;0,06958220
0,35400002;5,01113900;4,13861500;7,00643900;0,04333628
0,35600002;4,99496500;4,13861500;7,01193300;-0,02533036
0,35800002;5,01113900;4,14410800;7,00125100;-0,05188147
0,36000002;5,01113900;4,13861500;7,01193300;-0,08362071
0,36200002;5,00045800;4,13342700;7,00643900;-0,07843257
0,36400002;5,00564600;4,13342700;7,00125100;-0,03601184
0,36600002;4,99496500;4,13861500;6,99575800;0,01129185
0,36800002;5,00564600;4,13342700;7,00125100;0,04852443
0,37000002;5,00045800;4,13342700;6,99575800;0,08026368
0,37200002;5,00045800;4,13861500;6,99057000;0,08545183
0,37400002;4,99496500;4,13342700;6,99575800;0,04852443
0,37600002;5,01113900;4,13342700;6,99575800;-0,02014222
0,37800002;5,00045800;4,14410800;7,00125100;-0,04638813
0,38000002;5,00045800;4,13342700;7,00643900;-0,07293924
0,38200002;4,98977600;4,13342700;7,00643900;-0,07843257
0,38400002;5,01113900;4,13861500;7,00125100;-0,03051851
0,38600002;5,00564600;4,13342700;6,99057000;0,02746666
0,38800002;5,01113900;4,13342700;6,99575800;0,04852443
0,39000002;4,99496500;4,12823900;6,99057000;0,08026368
0,39200002;5,00045800;4,13861500;6,99057000;0,08545183
0,39400002;4,99496500;4,14410800;6,99575800;0,03784295
0,39600002;5,00564600;4,13861500;6,99575800;-0,03601184
0,39800002;5,01113900;4,14410800;6,99057000;-0,04119999
0,40000002;5,01113900;4,13342700;7,00125100;-0,08362071
0,40200002;5,00045800;4,13861500;7,00643900;-0,08880886
0,40400002;5,00564600;4,13861500;7,00125100;-0,03051851
0,40600002;4,98977600;4,12823900;6,98507600;0,02197333
0,40800002;4,99496500;4,14410800;6,99575800;0,03265481
0,41000002;4,99496500;4,14410800;6,99057000;0,08545183
0,41200002;5,00045800;4,12823900;6,98507600;0,08545183
0,41400002;5,01113900;4,13342700;6,99057000;0,03784295
0,41600002;5,01113900;4,14410800;6,99575800;-0,02014222
0,41800002;5,00564600;4,13861500;7,01193300;-0,04119999
0,42000002;5,00564600;4,13342700;6,99057000;-0,07293924
0,42200002;4,99496500;4,14410800;6,99575800;-0,08362071
0,42400002;4,99496500;4,13342700;7,00125100;-0,03051851
0,42600002;4,99496500;4,12823900;6,99575800;0,02197333
0,42800002;5,00045800;4,13861500;6,99575800;0,05371258
0,43000002;4,99496500;4,13861500;7,00125100;0,08026368
0,43200002;5,00564600;4,13861500;7,00125100;0,08026368
0,43400002;5,00045800;4,14410800;6,99057000;0,04333628
0,43600002;5,00564600;4,14410800;6,99575800;-0,02014222
0,43800002;5,00564600;4,14410800;6,99575800;-0,03601184
0,44000002;5,00045800;4,14929700;7,00643900;-0,06775109
0,44200002;4,99496500;4,13342700;6,99575800;-0,07843257
0,44400002;5,00564600;4,12823900;7,00125100;-0,04119999
0,44600002;4,99496500;4,12823900;7,01193300;0,02746666
0,44800002;4,98977600;4,13861500;6,99575800;0,04852443
0,45000002;5,00564600;4,13861500;6,99575800;0,08545183
0,45200002;5,00564600;4,14410800;6,99057000;0,06958220
0,45400002;4,99496500;4,12823900;7,00125100;0,04333628
0,45600002;5,01113900;4,12823900;7,00643900;-0,02533036
0,45800002;5,00564600;4,13861500;7,00643900;-0,03051851
0,46000002;4,98977600;4,13342700;6,99575800;-0,08362071
0,46200002;4,99496500;4,14410800;7,00125100;-0,08880886
0,46400002;5,00564600;4,13342700;6,99575800;-0,03601184
0,46600002;5,00045800;4,14410800;6,99575800;0,02197333
0,46800002;4,98977600;4,13861500;7,00125100;0,04333628
0,47000002;5,00045800;4,13342700;6,99575800;0,07507554
0,47200002;5,00045800;4,13342700;6,99575800;0,09094515
0,47400002;5,00045800;4,13342700;7,00643900;0,03265481
0,47600002;5,00045800;4,14410800;7,00125100;-0,01464888
0,47800002;5,00564600;4,12823900;7,00125100;-0,04119999
0,48000002;5,00045800;4,13342700;7,01193300;-0,06775109
0,48200002;5,00045800;4,12274600;7,00125100;-0,08880886
0,48400002;5,00564600;4,14410800;7,00643900;-0,03051851
0,48600002;4,98977600;4,14929700;7,00125100;0,03265481
0,48800002;5,00045800;4,13342700;6,99575800;0,04333628
0,49000002;4,99496500;4,13861500;6,99575800;0,07507554
0,49200002;5,00564600;4,12823900;6,99057000;0,08545183
0,49400002;5,00045800;4,13342700;7,00643900;0,04852443
0,49600002;5,00045800;4,13342700;7,00125100;-0,01464888
0,49800002;5,00564600;4,13342700;7,00643900;-0,03051851
0,50000002;5,00045800;4,13342700;6,99575800;-0,08362071
0,50200002;5,00564600;4,14410800;7,00643900;-0,07843257
0,50400002;5,00564600;4,12823900;7,01193300;-0,04119999
0,50600002;4,99496500;4,13861500;7,00125100;0,02197333
0,50800002;4,99496500;4,14410800;6,98507600;0,04333628
0,51000002;5,00045800;4,13342700;7,00125100;0,08545183
0,51200002;5,00045800;4,13861500;6,99057000;0,08545183
0,51400002;4,99496500;4,14410800;6,99057000;0,04333628
0,51600002;4,99496500;4,13861500;6,99575800;-0,02014222
