Zeit;Kanal A;Kanal B;Kanal C;Kanal D
(s);(V);(V);(V);(V)

0,31200001;6,00665300;5,25833900;5,49455300;0,00091556
0,31400001;6,00146500;5,24247000;5,50004600;0,00610370
0,31600002;6,00665300;5,25315100;5,50004600;0,00610370
0,31800002;5,99597200;5,25833900;5,50004600;-0,00946074
0,32000002;6,00146500;5,25315100;5,51072700;-0,01464888
0,32200002;5,99597200;5,25833900;5,49455300;0,00091556
0,32400002;6,00665300;5,25315100;5,50523400;0,00091556
0,32600002;5,99597200;5,25315100;5,50523400;0,00091556
0,32800002;6,00146500;5,24247000;5,49455300;0,01129185
0,33000002;6,00665300;5,24765800;5,51072700;0,00610370
0,33200002;6,00665300;5,25315100;5,49455300;-0,00427259
0,33400002;6,00665300;5,23697600;5,51072700;-0,00427259
0,33600002;6,00146500;5,24247000;5,49455300;0,00091556
0,33800002;6,00146500;5,24765800;5,50004600;0,00091556
0,34000002;6,00146500;5,24765800;5,51072700;0,00091556
0,34200002;6,01214600;5,25315100;5,50523400;-0,00427259
0,34400002;6,00146500;5,25315100;5,50523400;0,01129185
0,34600002;5,99078300;5,24765800;5,50004600;0,00610370
0,34800002;6,00665300;5,24765800;5,48936400;0,00091556
0,35000002;6,00146500;5,24765800;5,50004600;-0,00427259
0,35200002;6,01214600;5,25315100;5,50523400;0,00610370
0,35400002;6,00146500;5,23697600;5,49455300;0,00091556
0,35600002;6,00146500;5,25315100;5,50004600;0,00091556
0,35800002;5,99597200;5,25833900;5,50004600;-0,00427259
0,36000002;6,00146500;5,24765800;5,50004600;0,00091556
0,36200002;6,00146500;5,24765800;5,48936400;0,00091556
0,36400002;6,00665300;5,24247000;5,51591500;-0,00427259
0,36600002;5,99597200;5,25833900;5,49455300;0,00091556
0,36800002;6,00146500;5,24765800;5,51072700;-0,00427259
0,37000002;6,01214600;5,24765800;5,50004600;0,00091556
0,37200002;6,00146500;5,24247000;5,50004600;0,00610370
0,37400002;5,99597200;5,25315100;5,51072700;-0,00427259
0,37600002;6,01214600;5,24765800;5,50523400;0,00091556
0,37800002;6,00665300;5,25315100;5,49455300;0,00091556
0,38000002;6,00146500;5,24765800;5,50004600;-0,00427259
0,38200002;6,00146500;5,25833900;5,48936400;-0,00946074
0,38400002;6,00665300;5,25315100;5,49455300;0,00091556
0,38600002;5,99078300;5,25833900;5,49455300;0,00091556
0,38800002;5,99597200;5,24765800;5,49455300;0,00091556
0,39000002;6,00665300;5,24765800;5,50523400;0,01129185
0,39200002;6,01214600;5,24765800;5,50523400;-0,00427259
0,39400002;6,01214600;5,25315100;5,50523400;0,00091556
0,39600002;6,00146500;5,25315100;5,49455300;0,00091556
0,39800002;6,00665300;5,25315100;5,49455300;-0,00427259
0,40000002;6,00146500;5,24765800;5,50004600;0,00091556
0,40200002;5,99597200;5,24765800;5,50523400;-0,00946074
0,40400002;6,00665300;5,25833900;5,51072700;0,00091556
0,40600002;6,00146500;5,25833900;5,50004600;0,00091556
0,40800002;5,99597200;5,24765800;5,50523400;-0,00946074
0,41000002;5,99597200;5,25315100;5,50004600;0,00091556
0,41200002;5,99597200;5,24765800;5,49455300;0,00091556
0,41400002;6,00146500;5,24765800;5,50004600;0,00091556
0,41600002;5,99597200;5,25315100;5,50523400;-0,00427259
0,41800002;5,99597200;5,24765800;5,49455300;0,00610370
